FRODO  Copyright (C) 2008-2019  Thomas Leaute, Brammert Ottens & Radoslaw Szymanek
This program comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it
under certain conditions. 

Parsing the chosen problem file...
Parsing the chosen agent configuration file...
Setting up the agents...
Starting the algorithm...
var `293' = 380
var `480' = 282
var `380' = 142
var `379' = 86
var `165' = 268
var `163' = 484
var `353' = 86
var `354' = 366
var `879' = 380
var `652' = 16
var `54' = 352
var `783' = 540
var `481' = 268
var `476' = 100
var `784' = 366
var `475' = 352
var `482' = 86
var `915' = 282
var `916' = 44
var `712' = 296
var `711' = 414
var `336' = 750
var `776' = 750
var `775' = 512
var `753' = 296
var `294' = 142
var `754' = 750
var `166' = 72
var `164' = 442
var `479' = 456
var `385' = 680
var `554' = 512
var `386' = 512
var `553' = 254
var `880' = 142
var `651' = 254
var `53' = 114
var `81' = 86
var `79' = 652
var `261' = 484
var `435' = 680
var `436' = 526
var `804' = 526
var `803' = 764
var `764' = 540
var `326' = 722
var `763' = 470
var `264' = 338
var `328' = 666
var `327' = 694
var `325' = 114
var `263' = 764
var `663' = 778
var `583' = 114
var `584' = 142
var `282' = 254
var `275' = 310
var `724' = 324
var `273' = 414
var `341' = 310
var `281' = 414
var `722' = 394
var `283' = 156
var `344' = 736
var `146' = 30
var `284' = 30
var `343' = 470
var `342' = 484
var `278' = 282
var `276' = 498
var `717' = 554
var `274' = 442
var `719' = 58
var `144' = 498
var `720' = 750
var `714' = 86
var `713' = 156
var `277' = 778
var `718' = 666
var `639' = 58
var `640' = 44
var `581' = 470
var `582' = 708
var `259' = 442
var `260' = 554
var `335' = 512
var `914' = 72
var `913' = 352
var `255' = 442
var `751' = 736
var `752' = 142
var `374' = 100
var `373' = 750
var `608' = 526
var `556' = 680
var `607' = 352
var `143' = 100
var `555' = 750
var `145' = 142
var `721' = 72
var `723' = 708
var `272' = 764
var `270' = 128
var `271' = 380
var `269' = 254
var `661' = 764
var `662' = 526
var `262' = 666
var `805' = 680
var `806' = 442
var `80' = 414
var `787' = 470
var `82' = 324
var `289' = 722
var `292' = 442
var `291' = 540
var `796' = 764
var `646' = 44
var `664' = 540
var `744' = 470
var `743' = 484
var `287' = 708
var `471' = 142
var `288' = 470
var `472' = 268
var `520' = 100
var `519' = 680
var `797' = 352
var `756' = 114
var `755' = 310
var `748' = 380
var `86' = 366
var `83' = 526
var `84' = 310
var `85' = 456
var `766' = 156
var `623' = 72
var `624' = 352
var `71' = 666
var `72' = 694
var `739' = 442
var `740' = 512
var `413' = 30
var `538' = 470
var `414' = 736
var `539' = 666
var `537' = 30
var `540' = 470
var `338' = 442
var `545' = 254
var `381' = 526
var `256' = 680
var `546' = 526
var `337' = 352
var `382' = 680
var `798' = 100
var `789' = 708
var `788' = 456
var `598' = 142
var `630' = 736
var `629' = 498
var `613' = 456
var `645' = 30
var `603' = 72
var `604' = 428
var `268' = 456
var `265' = 282
var `267' = 338
var `266' = 792
var `585' = 722
var `588' = 456
var `810' = 526
var `807' = 310
var `809' = 86
var `808' = 750
var `632' = 58
var `794' = 526
var `791' = 736
var `790' = 526
var `290' = 652
var `795' = 428
var `793' = 30
var `745' = 352
var `792' = 282
var `587' = 526
var `746' = 442
var `558' = 338
var `765' = 414
var `599' = 324
var `586' = 254
var `785' = 512
var `15' = 310
var `631' = 58
var `597' = 128
var `747' = 750
var `13' = 778
var `786' = 142
var `322' = 142
var `323' = 72
var `594' = 100
var `593' = 456
var `16' = 338
var `14' = 722
var `324' = 414
var `600' = 540
var `614' = 100
var `321' = 512
var `557' = 526
var `666' = 484
var `665' = 778
var `606' = 30
var `605' = 310
var `800' = 114
var `799' = 114
var `236' = 268
var `235' = 296
var `768' = 338
var `625' = 722
var `626' = 114
var `580' = 380
var `579' = 114
var `633' = 764
var `329' = 72
var `352' = 708
var `351' = 86
var `634' = 352
var `767' = 778
var `568' = 352
var `567' = 750
var `394' = 666
var `393' = 86
var `551' = 72
var `474' = 442
var `542' = 380
var `404' = 498
var `552' = 554
var `473' = 380
var `391' = 114
var `403' = 694
var `392' = 310
var `635' = 764
var `330' = 778
var `566' = 100
var `560' = 778
var `636' = 30
var `559' = 736
var `565' = 128
var `220' = 352
var `219' = 114
var `812' = 456
var `811' = 352
var `561' = 540
var `801' = 282
var `233' = 722
var `578' = 694
var `562' = 736
var `622' = 282
var `577' = 694
var `592' = 324
var `234' = 428
var `802' = 282
var `621' = 708
var `591' = 366
var `570' = 540
var `572' = 540
var `569' = 86
var `571' = 778
var `541' = 512
var `602' = 114
var `601' = 484
var `350' = 142
var `349' = 736
var `814' = 512
var `813' = 750
var `758' = 380
var `573' = 484
var `574' = 380
var `444' = 694
var `443' = 526
var `590' = 142
var `596' = 540
var `589' = 282
var `595' = 778
var `517' = 526
var `238' = 456
var `518' = 708
var `286' = 366
var `237' = 72
var `759' = 86
var `816' = 30
var `815' = 86
var `760' = 324
var `757' = 338
var `285' = 680
var `191' = 694
var `194' = 44
var `193' = 100
var `192' = 680
var `617' = 470
var `818' = 296
var `372' = 414
var `371' = 694
var `375' = 456
var `376' = 484
var `308' = 456
var `307' = 652
var `774' = 58
var `310' = 736
var `309' = 652
var `654' = 310
var `672' = 338
var `671' = 310
var `306' = 512
var `304' = 792
var `305' = 750
var `303' = 498
var `773' = 86
var `618' = 58
var `205' = 414
var `213' = 58
var `129' = 484
var `575' = 736
var `576' = 540
var `206' = 30
var `770' = 72
var `295' = 58
var `715' = 680
var `643' = 722
var `641' = 442
var `301' = 100
var `299' = 114
var `817' = 310
var `769' = 30
var `127' = 324
var `405' = 666
var `130' = 764
var `616' = 352
var `741' = 764
var `478' = 708
var `827' = 736
var `378' = 708
var `826' = 338
var `296' = 366
var `653' = 414
var `182' = 254
var `716' = 324
var `179' = 72
var `477' = 128
var `402' = 310
var `449' = 310
var `742' = 394
var `406' = 428
var `825' = 296
var `439' = 296
var `620' = 722
var `369' = 694
var `377' = 268
var `829' = 352
var `830' = 778
var `440' = 366
var `644' = 456
var `615' = 736
var `450' = 694
var `401' = 86
var `619' = 512
var `370' = 30
var `911' = 58
var `642' = 666
var `300' = 764
var `128' = 352
var `218' = 380
var `214' = 268
var `181' = 114
var `314' = 142
var `563' = 324
var `211' = 324
var `120' = 652
var `212' = 736
var `210' = 722
var `828' = 554
var `313' = 44
var `564' = 282
var `311' = 324
var `312' = 30
var `302' = 310
var `209' = 442
var `117' = 470
var `180' = 296
var `217' = 380
var `119' = 554
var `151' = 380
var `912' = 456
var `118' = 694
var `668' = 156
var `154' = 764
var `667' = 470
var `153' = 708
var `152' = 736
var `184' = 268
var `183' = 736
Total cost of reported solution: infinity
Algorithm finished in 26 341 ms (simulated time)
Number of messages sent (by type): 
	[ALL, DSA, VALUE]:	11 741
	[ALL, DSA, VALUE]:	10 348
	[ALL, DSA, VALUE]:	8 358
	[ALL, DSA, VALUE]:	7 562
	[ALL, DSA, VALUE]:	8 756
	[ALL, DSA, VALUE]:	7 562
	[ALL, DSA, VALUE]:	6 368
	[ALL, DSA, VALUE]:	5 771
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	7 761
	[ALL, DSA, VALUE]:	4 975
	[ALL, DSA, VALUE]:	6 169
	[ALL, DSA, VALUE]:	8 557
	[ALL, DSA, VALUE]:	5 771
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	4 179
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	4 975
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	4 776
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	7 164
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	4 179
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	3 582
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	4 179
	[ALL, DSA, VALUE]:	4 179
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 184
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	3 781
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	4 179
	[ALL, DSA, VALUE]:	2 985
	[ALL, DSA, VALUE]:	2 587
	[ALL, DSA, VALUE]:	3 980
	[ALL, DSA, VALUE]:	4 378
	[ALL, DSA, VALUE]:	3 383
	[ALL, DSA, VALUE]:	5 373
	[ALL, DSA, VALUE]:	1 990
	[ALL, DSA, VALUE]:	4 577
